代码,名称,价格,PE,市值(亿),护城河评分,护城河理由
002612,朗姿股份,13.0,5.8,58.0,5,低估(PE6)
002807,江阴银行,4.39,5.3,108.0,5,低估(PE5)
601801,皖新传媒,5.47,13.3,107.0,5,低估(PE13)
603612,索通发展,21.41,14.2,107.0,5,低估(PE14)
002034,旺能环境,20.55,12.2,106.0,5,低估(PE12)
002588,史丹利,9.1,10.1,105.0,5,低估(PE10)
603202,天有为,65.2,10.4,104.0,5,低估(PE10)
600211,西藏药业,37.77,13.0,122.0,5,低估(PE13)
605507,国邦医药,21.78,14.7,122.0,5,低估(PE15)
600420,国药现代,9.05,12.9,121.0,5,低估(PE13)
600216,浙江医药,12.58,13.8,121.0,5,低估(PE14)
301061,匠心家居,42.5,10.8,121.0,5,低估(PE11)
001227,兰州银行,2.09,7.3,119.0,5,低估(PE7)
600908,无锡银行,5.37,5.3,118.0,5,低估(PE5)
002926,华西证券,8.08,14.4,212.0,5,低估(PE14)
000543,皖能电力,9.33,9.8,211.0,5,低估(PE10)
603173,福斯达,35.38,13.3,57.0,5,低估(PE13)
600428,中远海特,7.54,11.0,207.0,5,低估(PE11)
000598,兴蓉环境,6.88,10.2,205.0,5,低估(PE10)
603393,新天然气,26.99,14.2,114.0,5,低估(PE14)
601163,三角轮胎,14.3,12.4,114.0,5,低估(PE12)
002020,京新药业,13.22,14.4,114.0,5,低估(PE14)
002170,芭田股份,11.43,12.1,111.0,5,低估(PE12)
600511,国药股份,26.67,10.1,201.0,5,低估(PE10)
601098,中南传媒,10.9,12.2,196.0,5,低估(PE12)
001386,马可波罗,16.16,14.7,193.0,5,低估(PE15)
601107,四川成渝,6.26,13.5,191.0,5,低估(PE13)
600461,洪城环境,10.22,11.0,131.0,5,低估(PE11)
601512,中新集团,8.74,12.5,131.0,5,低估(PE12)
002060,广东建工,3.46,11.7,130.0,5,低估(PE12)
600648,外高桥,9.52,13.0,129.0,5,低估(PE13)
002701,奥瑞金,5.04,12.9,129.0,5,低估(PE13)
